,,,Pos.,Pos.,Pos.
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Agathokleous G,C3 F2,Livadia,10,16,10
Amaxopoulos D.,2 1600,Livadia,22,26,19
Amoutzas Giorg,C3 F2,Livadia,9,9,12
Antoniou K.  -,C3 F2,Livadia,7,8,32
Athanasoulas S,C5 F2,Livadia,19,14,14
Avgeris Giorgo,C3 F2,Livadia,25,-,-
Bakas Alexandr,C5 F2,Livadia,39,-,-
Basdelis Andre,C3 F2,Livadia,23,25,18
Berssis Evange,T,Livadia,21,24,-
Chatzigakis G.,C3 F2,Livadia,11,12,11
Christodoulou ,4,Livadia,13,13,15
Christodoulou ,C2,Livadia,8,7,7
Davaris Nikos ,C2,Livadia,6,10,8
Dedegikas Spir,3 2000,Livadia,43,35,21
Delaportas Gio,C5 F2,Livadia,12,11,9
Dodos Giorgos ,4 1600,Livadia,38,37,35
Englezos T.  -,C6 F2,Livadia,34,20,29
Gazetas D.  - ,C6 F2,Livadia,27,23,-
Giannakopoulos,C6 F2,Livadia,32,45,-
Halivelakis A.,3 2000,Livadia,15,27,13
Halkias Efthim,3 2000,Livadia,18,31,-
Ismailos Panos,C2,Livadia,49,4,4
Ita Vita  - Sy,C5 F2,Livadia,48,44,-
Kalamaras Teo ,C3 F2,Livadia,24,21,23
Kanellopoulos ,C3 F2,Livadia,35,22,22
Kansos P.  - G,4 2000,Livadia,46,42,37
Kassidopoulos ,3 1300,Livadia,28,33,27
Kofinas Konsta,4 1600,Livadia,44,39,34
Kotsadam Lambr,C6 F2,Livadia,36,29,30
Kourtessis Har,C6 F2,Livadia,40,32,28
Koutsikos P.  ,3 1300,Livadia,26,34,26
Koutsoukos A. ,C4 F2,Livadia,42,36,31
Manetas Giorgo,C4 F2,Livadia,20,15,16
Manouskos Elia,C6 F2,Livadia,30,17,17
Mavraganis A. ,C4 F2,Livadia,33,30,25
Melas D.  - Va,2,Livadia,41,28,24
Panteli Chryso,C5 F2,Livadia,4,5,5
Panteli Petros,C1,Livadia,2,2,2
Papadopoulos I,C5 F2,Livadia,47,41,-
Papandreou A. ,4 1300,Livadia,45,-,-
Paradissis Gio,3 2000,Livadia,17,19,20
Paradissis P. ,C2,Livadia,3,3,3
Pavli Marialen,C6 F2,Livadia,37,40,33
Rigas Giorgos ,C3 F2,Livadia,14,-,-
Tsakalos Theod,C5 F2,Livadia,5,6,6
Tsouloftas Ale,C1,Livadia,1,1,1
Vassilopoulos ,2 2000,Livadia,31,38,36
Vorrias Ioanni,T1,Livadia,29,18,-
Xanthakos M.  ,C2,Livadia,16,43,-
