,,,Pos.,Pos.,Pos.
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Amaxopoulos D.,2 -1600,Achaios,20,18,24
Bertsatos Gior,C3 F2,Achaios,28,28,22
Daskalopoulos ,C2,Achaios,5,12,-
Dekis Panagiot,C6 F2,Achaios,27,24,21
Dermas V.  - P,C3 F2,Achaios,6,4,4
Diamantis D.  ,C4 F2,Achaios,30,29,26
Fountas Polido,C6 F2,Achaios,21,17,-
Gavriilidis Gi,4 2000+,Achaios,23,23,17
Kaberos Alekos,C3 F2,Achaios,16,15,16
Kaberos Willia,C3 F2,Achaios,19,20,15
Kalyviotis And,C6 F2,Achaios,22,19,14
Kandiliotis V.,C2,Achaios,11,-,-
Kapralos D.  -,C3 F2,Achaios,7,5,27
Karathanassis ,C5 F2,Achaios,4,30,6
Karouzos Giorg,C4 F2,Achaios,29,27,23
Katsarelias E.,C3 F2,Achaios,8,6,8
Katsikas Ioann,3 2000,Achaios,12,10,9
Kondilis Panag,C5 F2,Achaios,13,11,13
Koukeas Efstat,C1,Achaios,2,1,1
Kouniakis K.  ,C6 F2,Achaios,25,22,19
Labropoulos P.,C2,Achaios,18,13,11
Lykakis Ioanni,2 -1600,Achaios,33,-,-
Markopoulos D.,C5 F2,Achaios,32,25,20
Mitropoulos Ko,2 2000,Achaios,31,26,25
Nomikos Andrea,C1,Achaios,17,8,7
Papadopoulos N,C2,Achaios,10,7,5
Papazoglou L. ,4 2000+,Achaios,26,21,28
Peroulakis Geo,C2,Achaios,1,2,2
Rekkas Panange,C6 F2,Achaios,14,14,12
Rocco Gianluca,4 2000+,Achaios,9,9,18
Stafilopatis M,4 2000+,Achaios,3,3,3
Tiros Nikos  -,C6 F2,Achaios,15,16,10
Yamalakis Stel,3,Achaios,24,-,-
